index,value
0,1320
1,1986
2,18317
3,6918
4,2931
5,1757
6,61420
7,1360
8,2971
9,2461
10,301
11,1919
12,2091
13,1790
14,40649
15,1423
16,307
17,63755
18,190
19,3045
20,1647
21,2882
22,47040
23,928
24,1011
25,2289
26,7213
27,59949
28,3081
29,15927
30,29684
31,25646
32,273
33,2444
34,48347
35,284
36,36895
37,353
38,2877
39,21189
40,733
41,2347
42,24526
43,357
44,1410
45,1232
46,16505
47,2518
48,2251
49,1957
50,504
51,2008
52,2567
53,710
54,1491
55,2172
56,1913
57,1623
58,546
59,35577
60,2705
61,43409
62,1850
63,520
64,40995
65,50077
66,2488
67,2819
68,1338
69,2169
70,692
71,46061
72,504
73,702
74,2327
75,40
76,751
77,59584
78,1543
79,18123
80,3042
81,441
82,2019
83,1684
84,49536
85,2529
86,2189
87,2281
88,24214
89,2247
90,1448
91,2206
92,2193
93,441
94,16293
95,1316
96,17499
97,2276
98,1361
99,60507
100,1435
101,424
102,2855
103,15741
104,53125
105,1686
106,11511
107,1987
108,2966
109,755
110,166
111,3005
112,1230
113,2150
114,591
115,1822
116,70
117,2679
118,2059
119,687
120,2895
121,1213
122,838
123,506
124,1567
125,175
126,715
127,415
128,1965
129,350
130,20321
131,43914
132,3199
133,17
134,370
135,1236
136,190
137,2855
138,3212
139,2095
140,2674
141,234
142,9058
143,2032
144,650
145,1609
146,1447
147,1528
148,1213
149,1201
150,55710
151,972
152,1646
153,1508
154,1813
155,1009
156,1445
157,24966
158,9
159,2907
160,88
161,3104
162,1389
163,3033
164,128
165,103
166,26933
167,1389
168,1295
169,1136
170,939
171,1518
172,8
173,61906
174,2124
175,55282
176,111
177,711
178,376
179,601
180,1472
181,1031
182,2054
183,1271
184,2401
185,1464
186,1153
187,777
188,5128
189,144
190,113
191,2478
192,2187
193,2506
194,2548
195,250
196,289
197,1831
198,3274
199,1913
200,106
201,295
202,54719
203,1866
204,1597
205,699
206,1447
207,680
208,2781
209,3079
210,1847
211,26716
212,1546
213,3025
214,861
215,2891
216,1564
217,413
218,1739
219,663
220,1738
221,45791
222,3189
223,18
224,168
225,1517
226,505
227,2641
228,3176
229,1871
230,226
231,1033
232,10587
233,821
234,2825
235,449
236,2381
237,1363
238,4751
239,753
240,1466
241,1719
242,43358
243,651
244,2950
245,1933
246,886
247,2940
248,3131
249,1618
250,1772
251,1368
252,1537
253,2661
254,1253
255,34296
256,2625
257,362
258,3273
259,3118
260,2866
261,64266
262,2659
263,50617
264,2195
265,711
266,2668
267,597
268,28295
269,668
270,291
271,589
272,3243
273,1416
274,19747
275,582
276,447
277,1867
278,629
279,1171
280,1221
281,1133
282,2371
283,1973
284,3366
285,20573
286,791
287,49337
288,14
289,1972
290,1118
291,2087
292,1217
293,1023
294,485
295,83
296,921
297,2222
298,1157
299,14224
300,594
301,58006
302,2262
303,12865
304,1290
305,1445
306,347
307,3212
308,1813
309,736
310,1120
311,2665
312,31843
313,2254
314,26
315,799
316,1728
317,3238
318,2024
319,28582
320,926
321,57231
322,3158
323,4277
324,638
325,49926
326,358
327,2032
328,2708
329,1660
330,1303
331,2069
332,2656
333,31817
334,2772
335,3028
336,2282
337,33673
338,2911
339,1920
340,382
341,2377
342,64667
343,149
344,2645
345,2228
346,13821
347,2001
348,3003
349,445
350,6019
351,1176
352,2684
353,150
354,2576
355,808
356,615
357,33238
358,957
359,1149
360,1875
361,43216
362,1043
363,3199
