index,value
0,0
1,0
2,0
3,1
4,2
5,3
6,4
7,4
8,5
9,5
10,7
11,7
12,8
13,8
14,9
15,9
16,9
17,10
18,10
19,10
20,11
21,11
22,13
23,14
24,15
25,16
26,16
27,16
28,17
29,17
30,17
31,18
32,18
33,18
34,19
35,20
36,21
37,21
38,21
39,21
40,21
41,21
42,21
43,23
44,23
45,23
46,23
47,24
48,26
49,26
50,26
51,27
52,27
53,28
54,29
55,29
56,30
57,32
58,33
59,33
60,34
61,34
62,34
63,34
64,35
65,36
66,36
67,37
68,38
69,38
70,39
71,42
72,42
73,43
74,44
75,44
76,45
77,45
78,45
79,48
80,50
81,50
82,50
83,52
84,54
85,54
86,55
87,56
88,56
89,57
90,61
91,61
92,62
93,64
94,64
95,65
96,65
97,66
98,66
99,66
100,67
101,68
102,69
103,70
104,70
105,71
106,72
107,74
108,77
109,77
110,77
111,78
112,79
113,79
114,79
115,80
116,82
117,82
118,84
119,85
120,86
121,86
122,86
123,87
124,88
125,88
126,89
127,89
128,89
129,91
130,91
131,91
132,91
133,93
134,94
135,94
136,95
137,95
138,96
139,96
140,97
141,97
142,98
143,101
144,101
145,103
146,103
147,106
148,107
149,108
150,108
151,108
152,108
153,109
154,109
155,110
156,112
157,112
158,112
159,113
160,113
161,114
162,115
163,115
164,117
165,117
166,118
167,118
168,118
169,119
170,119
171,120
172,121
173,121
174,121
175,122
176,122
177,124
178,124
179,124
180,125
181,125
182,125
183,126
184,127
185,127
186,128
187,129
188,129
189,129
190,130
191,130
192,130
193,131
194,131
195,132
196,132
197,133
198,133
199,134
200,135
201,135
202,136
203,137
204,137
205,138
206,139
207,140
208,140
209,140
210,142
211,143
212,143
213,144
214,145
215,146
216,146
217,147
218,148
219,148
220,149
221,149
222,150
223,152
224,152
225,152
226,153
227,154
228,155
229,156
230,159
231,159
232,160
233,160
234,161
235,162
236,163
237,163
238,164
239,166
240,168
241,168
242,169
243,170
244,170
245,170
246,171
247,172
248,172
249,173
250,173
251,175
252,175
253,175
254,175
255,176
256,177
257,177
258,179
259,179
260,180
261,181
262,184
263,184
264,184
265,184
266,185
267,186
268,186
269,187
270,188
271,188
272,191
273,193
274,194
275,194
276,194
277,195
278,195
279,195
280,196
281,196
282,196
283,197
284,199
285,199
286,199
287,200
288,202
289,202
290,202
291,203
292,203
293,204
294,205
295,206
296,206
297,206
298,206
299,208
300,210
301,211
302,212
303,213
304,214
305,214
306,214
307,214
308,215
309,216
310,216
311,216
312,217
313,218
314,218
315,219
316,219
317,219
318,221
319,222
320,222
321,222
322,224
323,224
324,225
325,226
326,227
327,229
328,229
329,230
330,231
331,231
332,231
333,234
334,234
335,234
336,234
337,235
338,236
339,236
340,237
341,239
342,240
343,241
344,241
345,242
346,244
347,246
348,246
349,247
350,247
351,247
352,247
353,248
354,248
355,248
356,250
357,250
358,250
359,251
360,252
361,252
362,252
363,253
364,253
365,253
366,253
367,254
368,254
369,255
370,255
371,255
372,256
373,257
374,258
375,258
376,260
377,260
378,261
379,261
380,262
381,264
382,264
383,265
384,265
385,267
386,268
387,269
388,270
389,271
390,271
391,271
392,271
393,271
394,273
395,273
396,273
397,274
398,274
399,275
400,275
401,275
402,276
403,276
404,277
405,278
406,279
407,280
408,280
409,282
410,283
411,283
412,283
413,283
414,283
415,284
416,285
417,285
418,286
419,288
420,288
421,290
422,290
423,291
424,291
425,292
426,293
427,294
428,294
429,295
430,295
431,295
432,295
433,296
434,297
435,297
436,298
437,300
438,301
439,302
440,302
441,302
442,303
443,303
444,303
445,304
446,305
447,305
448,305
449,305
450,306
451,307
452,307
453,309
454,311
455,311
456,312
457,312
458,312
459,313
460,314
461,315
462,315
463,316
464,318
465,319
466,322
467,322
468,324
469,326
470,326
471,327
472,327
473,327
474,327
475,328
476,328
477,328
478,329
479,330
480,331
481,331
482,331
483,332
484,332
485,333
486,333
487,333
488,334
489,335
490,336
491,336
492,337
493,338
494,341
495,341
496,342
497,346
498,347
499,348
500,349
501,349
502,349
503,351
504,351
505,352
506,352
507,352
508,352
509,352
510,353
511,354
512,355
513,355
514,355
515,356
516,357
517,357
518,357
519,358
520,358
521,359
522,359
523,360
524,361
525,363
526,365
527,366
528,366
529,367
530,367
531,367
532,368
