index,value
0,41555
1,26407
2,22241
3,39744
4,64114
5,18317
6,58733
7,6918
8,14380
9,58648
10,51727
11,35168
12,52611
13,61420
14,48697
15,27216
16,25502
17,59435
18,20555
19,49246
20,7279
21,6031
22,47160
23,38402
24,45370
25,41836
26,40298
27,35814
28,56358
29,40649
30,31144
31,28480
32,39347
33,6158
34,65504
35,63755
36,33455
37,3818
38,8501
39,60922
40,959
41,32962
42,12861
43,57666
44,60315
45,47040
46,297
47,18574
48,43353
49,20239
50,3008
51,45797
52,58609
53,7213
54,58394
55,59949
56,28764
57,61650
58,53342
59,15927
60,63377
61,29684
62,63124
63,25646
64,37746
65,5467
66,30900
67,48896
68,63907
69,48347
70,22189
71,5682
72,63869
73,36895
74,22985
75,7065
76,22388
77,57560
78,53125
79,21189
80,52426
81,14672
82,45575
83,46961
84,53947
85,24526
86,39609
87,7143
88,30226
89,28224
90,27527
91,24654
92,61599
93,16505
94,49354
95,50373
96,1481
97,45036
98,26039
99,39158
100,23086
101,10101
102,51177
103,40181
104,9534
105,51362
106,27454
107,14215
108,9713
109,29836
110,39811
111,43466
112,15766
113,38284
114,11383
115,32472
116,36326
117,10935
118,57307
119,35577
120,34437
121,54119
122,64687
123,43409
124,12088
125,37024
126,20652
127,10411
128,60076
129,40995
130,55476
131,50077
132,32705
133,49775
134,22150
135,56409
136,27785
137,26770
138,13214
139,43392
140,20876
141,13860
142,65275
143,46061
144,27736
145,10089
146,11857
147,14059
148,3999
149,46568
150,9667
151,820
152,29189
153,15034
154,53699
155,59584
156,5731
157,30877
158,61795
159,18123
160,8398
161,60871
162,18315
163,8836
164,17336
165,40399
166,32394
167,33698
168,60183
169,49536
170,44431
171,50605
172,44962
173,43807
174,949
175,45634
176,65073
177,24214
178,25212
179,44967
180,47800
181,28972
182,14540
183,44147
184,39132
185,43875
186,33116
187,8841
188,63116
189,16293
190,36540
191,26335
192,63733
193,17499
194,6510
195,45544
196,25900
197,27233
198,57218
199,60507
200,19956
201,28723
202,14591
203,8493
204,38416
205,57128
206,58927
207,15741
208,64053
209,53125
210,29819
211,33742
212,60040
213,11511
214,13232
215,39757
216,386
217,59350
218,26136
219,15105
220,25956
221,3337
222,9238
223,60129
224,12844
225,24616
226,30976
227,43015
228,38559
229,11840
230,35736
231,36467
232,799
233,1413
234,15693
235,53599
236,43515
237,41193
238,7199
239,13760
240,50825
241,57919
242,32751
243,24271
244,4159
245,16765
246,27862
247,10125
248,35685
